name,filename,fit,color,washing,damage,price,link
L2 코튼데님 팬츠,Musinsa_Jeans_2.jpg,wide,DeepTone,one,nondamage,"119,000",https://www.musinsa.com/app/goods/2776141
스퀘어 데님 턱 밴딩팬츠(네이비),Musinsa_Jeans_3.jpg,wide,DeepTone,one,nondamage,"62,000",https://www.musinsa.com/app/goods/2775891
스퀘어 데님 턱 밴딩팬츠(차콜),Musinsa_Jeans_4.jpg,wide,DeepTone,one,nondamage,"62,000",https://www.musinsa.com/app/goods/2775890
VERTICAL CUT DENIM PANTS - BLUE,Musinsa_Jeans_5.jpg,skinny,etc,one,nondamage,"169,000",https://www.musinsa.com/app/goods/2684095
VERTICAL CUT DENIM PANTS - BLACK,Musinsa_Jeans_6.jpg,wide,DeepTone,one,nondamage,"169,000",https://www.musinsa.com/app/goods/2684093
SYMBOL PATCHED DENIM PANTS - BLUE,Musinsa_Jeans_7.jpg,etc,etc,one,nondamage,"169,000",https://www.musinsa.com/app/goods/2684092
SYMBOL PATCHED DENIM PANTS - DARK GRAY,Musinsa_Jeans_8.jpg,wide,DeepTone,one,nondamage,"169,000",https://www.musinsa.com/app/goods/2684091
[남성] 22FW 데님 배기핏 플리쎄 팬츠 (블랙) MHPA2C805BK,Musinsa_Jeans_9.jpg,wide,DeepTone,one,nondamage,"108,000",https://www.musinsa.com/app/goods/2775708
Tailor denim pants,Musinsa_Jeans_10.jpg,wide,DeepTone,one,nondamage,"189,000",https://www.musinsa.com/app/goods/2774971
쿨 가이 S74LB1196 S30342 470 남자 진,Musinsa_Jeans_11.jpg,skinny,DeepTone,brush,nondamage,"534,000",https://www.musinsa.com/app/goods/2774571
스케이터 S74LB1171 S30663 470 남자 진,Musinsa_Jeans_12.jpg,skinny,LightTone,brush,nondamage,"534,000",https://www.musinsa.com/app/goods/2774569
[다비 와이드 데님 팬츠_블루] Darby Wide Denim Pants_BL,Musinsa_Jeans_13.jpg,etc,LightTone,one,nondamage,"139,000",https://www.musinsa.com/app/goods/2774354
Unbalance Long Tuck Denim Balloon Pants - Grey,Musinsa_Jeans_14.jpg,wide,DeepTone,one,nondamage,"149,000",https://www.musinsa.com/app/goods/2774017
Unbalance Long Tuck Denim Balloon Pants - Dark Blue,Musinsa_Jeans_15.jpg,wide,DeepTone,etc,nondamage,"149,000",https://www.musinsa.com/app/goods/2774016
DY STRAIGHT DENIM PANTS,Musinsa_Jeans_16.jpg,wide,DeepTone,one,nondamage,"79,000",https://www.musinsa.com/app/goods/2773826
DRY OVER DENIM PANTS,Musinsa_Jeans_17.jpg,wide,MiddleTone,etc,nondamage,"79,000",https://www.musinsa.com/app/goods/2773810
STRAIGHT LINE PANTS,Musinsa_Jeans_18.jpg,wide,DeepTone,one,nondamage,"79,000",https://www.musinsa.com/app/goods/2773698
레직기 스트레이트 데님 팬츠 [BLUE] / W22F07001,Musinsa_Jeans_19.jpg,wide,etc,one,nondamage,"84,000",https://www.musinsa.com/app/goods/2773670
레직기 스트레이트 데님 팬츠 [NAVY] / W22F07001,Musinsa_Jeans_20.jpg,butcut,MiddleTone,one,nondamage,"84,000",https://www.musinsa.com/app/goods/2773662
HARD WASHING PANTS,Musinsa_Jeans_21.jpg,wide,DeepTone,brush,nondamage,"79,000",https://www.musinsa.com/app/goods/2773645
생지 부츠컷 데님 팬츠,Musinsa_Jeans_22.jpg,etc,DeepTone,one,etc,"108,000",https://www.musinsa.com/app/goods/2773464
딥블루 워싱 와이드 데님 팬츠,Musinsa_Jeans_23.jpg,regular,LightTone,brush,nondamage,"98,000",https://www.musinsa.com/app/goods/2773460
Raw-cut Patched Jeans (for women)_QWPDX22543BUX,Musinsa_Jeans_24.jpg,wide,etc,one,nondamage,"179,000",https://www.musinsa.com/app/goods/2773437
