name,filename,collar,pattern,pocket,main_color,sub_color,price,link
22FW 클래식 체크 포플린 코튼 셔츠 8010213 A7028,Musinsa_Shirt_2.jpg,Regular,check,2,99745b,685041,"616,000",https://www.musinsa.com/app/goods/2663433
코튼 새틴 스트라이프 셔츠 (T12C6WSH060MT20EV),Musinsa_Shirt_3.jpg,ButtonDown,solid,0,baaeb1,a89c9e,"169,000",https://www.musinsa.com/app/goods/2662924
플렉스 옥스포드 슬림핏 셔츠 (T12C6WSH11CMT2YBR),Musinsa_Shirt_4.jpg,ButtonDown,solid,0,f5f2ef,e5dcd6,"159,000",https://www.musinsa.com/app/goods/2662919
트위스티드 플래그 오버셔츠 (T32C6WSH19TMT1BDS),Musinsa_Shirt_5.jpg,etc,solid,0,0f1216,22252c,"168,000",https://www.musinsa.com/app/goods/2662730
에어 루즈핏 셔츠 네이비,Musinsa_Shirt_6.jpg,Regular,solid,0,1d283f,242e49,"79,000",https://www.musinsa.com/app/goods/2662618
에어 루즈핏 셔츠 브라운,Musinsa_Shirt_7.jpg,Regular,solid,etc,482f2a,3a2521,"79,000",https://www.musinsa.com/app/goods/2662617
에어 루즈핏 셔츠 크림,Musinsa_Shirt_8.jpg,Regular,solid,1,ddd8c5,dedcd6,"79,000",https://www.musinsa.com/app/goods/2662616
에어 루즈핏 셔츠 핑크,Musinsa_Shirt_9.jpg,Regular,solid,1,ddc5c3,dbd6d2,"79,000",https://www.musinsa.com/app/goods/2662615
웨스턴 데님 셔츠 (T32C6WSH11TMT21AB),Musinsa_Shirt_10.jpg,Regular,solid,2,6187ad,7ea4c9,"158,000",https://www.musinsa.com/app/goods/2662588
웨스턴 데님 셔츠 (T32C6WSH11TMT21A5),Musinsa_Shirt_11.jpg,Regular,solid,2,4d6a89,39526b,"158,000",https://www.musinsa.com/app/goods/2662584
스탠다드 스트라이프 셔츠,Musinsa_Shirt_12.jpg,Regular,stripe,0,c4d3e4,ddebfb,"109,000",https://www.musinsa.com/app/goods/2662436
고밀도 코튼 세미오버핏 반팔셔츠 (SPYAC25W11 RE)_SPYAC37W11,Musinsa_Shirt_13.jpg,Regular,solid,0,d1d8f2,cdd4ee,"39,900",https://www.musinsa.com/app/goods/2662196
세미오버핏 오픈카라 셔켓_SPYWC37M05,Musinsa_Shirt_14.jpg,Notched,solid,1,cbc6c1,b5afa8,"49,900",https://www.musinsa.com/app/goods/2662191
오버핏 코튼 셔츠_SPYWC38C02,Musinsa_Shirt_15.jpg,etc,solid,0,f3f2f8,f1f0f6,"35,900",https://www.musinsa.com/app/goods/2662189
스탠다드 옐로우 셔츠,Musinsa_Shirt_16.jpg,Regular,solid,0,eee1b2,e9daa6,"109,000",https://www.musinsa.com/app/goods/2662134
042901 포플린 셔츠,Musinsa_Shirt_17.jpg,ButtonDown,solid,0,2e2d44,b2bbc6,"49,800",https://www.musinsa.com/app/goods/2661726
042902 핀포인트 옥스포드 오버핏 셔츠,Musinsa_Shirt_18.jpg,ButtonDown,solid,0,d5d5d8,b89779,"49,800",https://www.musinsa.com/app/goods/2661725
화이트 솔리드 주름 셔츠 (212764DY41),Musinsa_Shirt_19.jpg,Regular,solid,1,e1e3e1,dcdedb,"49,900",https://www.musinsa.com/app/goods/2661704
[+S 사이즈] 아이보리 트윌 오픈 칼라 반팔 셔츠 (422765DY10),Musinsa_Shirt_20.jpg,Notched,solid,0,dccebf,d6c7b7,"39,900",https://www.musinsa.com/app/goods/2661700
아이보리 전판 트로피컬 프린트 셔츠 (422765AY20),Musinsa_Shirt_21.jpg,Notched,floral,etc,d9d4ca,25252c,"39,900",https://www.musinsa.com/app/goods/2661698
브라운 체크 네트 조직 반팔 셔츠 (212765DY3D),Musinsa_Shirt_22.jpg,etc,dot,0,8d7c73,a08f87,"45,900",https://www.musinsa.com/app/goods/2661689
화이트 네트 조직 반팔 셔츠 (212765DY21),Musinsa_Shirt_23.jpg,Notched,solid,0,dadbd6,e0e1dc,"45,900",https://www.musinsa.com/app/goods/2661687
전판 프린트 반팔 셔츠 (212765DY10),Musinsa_Shirt_24.jpg,Regular,check,1,c9cac1,d7d9d3,"39,900",https://www.musinsa.com/app/goods/2661674
스카이블루 스트링 긴팔 셔츠 (352664MB1Q),Musinsa_Shirt_25.jpg,Regular,stripe,1,8fabc4,84a0ba,"39,900",https://www.musinsa.com/app/goods/2660953
아이보리 스트링 긴팔 셔츠 (352664MB10),Musinsa_Shirt_26.jpg,Regular,solid,1,d8d9d8,dddede,"39,900",https://www.musinsa.com/app/goods/2660949
라임 셔링 포인트 오버핏 셔츠 (352765JQ2L),Musinsa_Shirt_27.jpg,Regular,solid,0,c2e2d1,cae9d8,"39,900",https://www.musinsa.com/app/goods/2660940
스카이 블루 크롭 밴딩 반팔 셔츠 (322765LY6Q),Musinsa_Shirt_28.jpg,Regular,solid,etc,afc1dd,bacbe5,"39,900",https://www.musinsa.com/app/goods/2660937
네이비 모달 볼륨소매 셔츠 (322765LY2R),Musinsa_Shirt_29.jpg,Regular,solid,0,1d1e23,17181c,"39,900",https://www.musinsa.com/app/goods/2660935
삼선 그로그랭 플래킷 솔리드 포플린 MWS002E 03113 100 남자 반팔 셔츠 클래식핏,Musinsa_Shirt_30.jpg,ButtonDown,solid,2,e7e7e9,dbdbde,"544,000",https://www.musinsa.com/app/goods/2660871
