name,filename,collar,pattern,pocket,main_color,sub_color,price,link,main_color_H,sub_color_H,
22FW 클래식 체크 포플린 코튼 셔츠 8010213 A7028,Musinsa_Shirt_2.jpg,Regular,check,2,99745b,685041,"616,000",https://www.musinsa.com/app/goods/2663433,Red,Red,
코튼 새틴 스트라이프 셔츠 (T12C6WSH060MT20EV),Musinsa_Shirt_3.jpg,ButtonDown,solid,0,baaeb1,a89c9e,"169,000",https://www.musinsa.com/app/goods/2662924,Gray,Gray,
플렉스 옥스포드 슬림핏 셔츠 (T12C6WSH11CMT2YBR),Musinsa_Shirt_4.jpg,ButtonDown,solid,0,f5f2ef,e5dcd6,"159,000",https://www.musinsa.com/app/goods/2662919,White,Gray,
트위스티드 플래그 오버셔츠 (T32C6WSH19TMT1BDS),Musinsa_Shirt_5.jpg,etc,solid,0,0f1216,22252c,"168,000",https://www.musinsa.com/app/goods/2662730,Black,Azure,
에어 루즈핏 셔츠 네이비,Musinsa_Shirt_6.jpg,Regular,solid,0,1d283f,2.42E+51,"79,000",https://www.musinsa.com/app/goods/2662618,Azure,Azure,
에어 루즈핏 셔츠 브라운,Musinsa_Shirt_7.jpg,Regular,solid,etc,482f2a,3a2521,"79,000",https://www.musinsa.com/app/goods/2662617,Red,Red,
에어 루즈핏 셔츠 크림,Musinsa_Shirt_8.jpg,Regular,solid,1,ddd8c5,dedcd6,"79,000",https://www.musinsa.com/app/goods/2662616,Orange,Gray,
에어 루즈핏 셔츠 핑크,Musinsa_Shirt_9.jpg,Regular,solid,1,ddc5c3,dbd6d2,"79,000",https://www.musinsa.com/app/goods/2662615,Red,Gray,
웨스턴 데님 셔츠 (T32C6WSH11TMT21AB),Musinsa_Shirt_10.jpg,Regular,solid,2,6187ad,7ea4c9,"158,000",https://www.musinsa.com/app/goods/2662588,Azure,Cyan,
웨스턴 데님 셔츠 (T32C6WSH11TMT21A5),Musinsa_Shirt_11.jpg,Regular,solid,2,4d6a89,39526b,"158,000",https://www.musinsa.com/app/goods/2662584,Azure,Azure,
스탠다드 스트라이프 셔츠,Musinsa_Shirt_12.jpg,Regular,stripe,0,c4d3e4,ddebfb,"109,000",https://www.musinsa.com/app/goods/2662436,Azure,Azure,
고밀도 코튼 세미오버핏 반팔셔츠 (SPYAC25W11 RE)_SPYAC37W11,Musinsa_Shirt_13.jpg,Regular,solid,0,d1d8f2,cdd4ee,"39,900",https://www.musinsa.com/app/goods/2662196,Azure,Azure,
세미오버핏 오픈카라 셔켓_SPYWC37M05,Musinsa_Shirt_14.jpg,Notched,solid,1,cbc6c1,b5afa8,"49,900",https://www.musinsa.com/app/goods/2662191,Gray,Gray,
오버핏 코튼 셔츠_SPYWC38C02,Musinsa_Shirt_15.jpg,etc,solid,0,f3f2f8,f1f0f6,"35,900",https://www.musinsa.com/app/goods/2662189,White,White,
스탠다드 옐로우 셔츠,Musinsa_Shirt_16.jpg,Regular,solid,0,eee1b2,e9daa6,"109,000",https://www.musinsa.com/app/goods/2662134,Orange,Orange,
042901 포플린 셔츠,Musinsa_Shirt_17.jpg,ButtonDown,solid,0,2e2d44,b2bbc6,"49,800",https://www.musinsa.com/app/goods/2661726,Blue,Azure,
042902 핀포인트 옥스포드 오버핏 셔츠,Musinsa_Shirt_18.jpg,ButtonDown,solid,0,d5d5d8,b89779,"49,800",https://www.musinsa.com/app/goods/2661725,Gray,Red,
화이트 솔리드 주름 셔츠 (212764DY41),Musinsa_Shirt_19.jpg,Regular,solid,1,e1e3e1,dcdedb,"49,900",https://www.musinsa.com/app/goods/2661704,Gray,Gray,
[+S 사이즈] 아이보리 트윌 오픈 칼라 반팔 셔츠 (422765DY10),Musinsa_Shirt_20.jpg,Notched,solid,0,dccebf,d6c7b7,"39,900",https://www.musinsa.com/app/goods/2661700,Orange,Orange,
아이보리 전판 트로피컬 프린트 셔츠 (422765AY20),Musinsa_Shirt_21.jpg,Notched,floral,etc,d9d4ca,25252c,"39,900",https://www.musinsa.com/app/goods/2661698,Gray,Blue,
브라운 체크 네트 조직 반팔 셔츠 (212765DY3D),Musinsa_Shirt_22.jpg,etc,dot,0,8d7c73,a08f87,"45,900",https://www.musinsa.com/app/goods/2661689,Red,Red,
화이트 네트 조직 반팔 셔츠 (212765DY21),Musinsa_Shirt_23.jpg,Notched,solid,0,dadbd6,e0e1dc,"45,900",https://www.musinsa.com/app/goods/2661687,Gray,Gray,
전판 프린트 반팔 셔츠 (212765DY10),Musinsa_Shirt_24.jpg,Regular,check,1,c9cac1,d7d9d3,"39,900",https://www.musinsa.com/app/goods/2661674,Gray,Gray,
스카이블루 스트링 긴팔 셔츠 (352664MB1Q),Musinsa_Shirt_25.jpg,Regular,stripe,1,8fabc4,84a0ba,"39,900",https://www.musinsa.com/app/goods/2660953,Cyan,Cyan,
아이보리 스트링 긴팔 셔츠 (352664MB10),Musinsa_Shirt_26.jpg,Regular,solid,1,d8d9d8,dddede,"39,900",https://www.musinsa.com/app/goods/2660949,Gray,Gray,
라임 셔링 포인트 오버핏 셔츠 (352765JQ2L),Musinsa_Shirt_27.jpg,Regular,solid,0,c2e2d1,cae9d8,"39,900",https://www.musinsa.com/app/goods/2660940,Green,Green,
스카이 블루 크롭 밴딩 반팔 셔츠 (322765LY6Q),Musinsa_Shirt_28.jpg,Regular,solid,etc,afc1dd,bacbe5,"39,900",https://www.musinsa.com/app/goods/2660937,Azure,Azure,
네이비 모달 볼륨소매 셔츠 (322765LY2R),Musinsa_Shirt_29.jpg,Regular,solid,0,1d1e23,17181c,"39,900",https://www.musinsa.com/app/goods/2660935,Azure,Azure,
삼선 그로그랭 플래킷 솔리드 포플린 MWS002E 03113 100 남자 반팔 셔츠 클래식핏,Musinsa_Shirt_30.jpg,ButtonDown,solid,2,e7e7e9,dbdbde,"544,000",https://www.musinsa.com/app/goods/2660871,White,Gray,
BOY CROPPED SHIRT_WHITE,Musinsa_Shirt_31.jpg,Regular,solid,etc,ececeb,e8e8e6,"49,000",https://www.musinsa.com/app/goods/2660159,White,White,
MATIN LOGO PRINT TAILORED COLLAR SHIRT IN WHITE,Musinsa_Shirt_32.jpg,Band,solid,etc,f3f2f0,f0efed,"148,000",https://www.musinsa.com/app/goods/2659095,White,White,
MATIN LOGO PRINT TAILORED COLLAR SHIRT IN SKY,Musinsa_Shirt_33.jpg,Notched,solid,etc,bfcfdf,cbd8e5,"148,000",https://www.musinsa.com/app/goods/2659094,Azure,Azure,
See-through Crop Shirt (3colors),Musinsa_Shirt_34.jpg,Regular,solid,0,ab805e,b78f6c,"78,000",https://www.musinsa.com/app/goods/2658638,Red,Red,
레드 로고 라벨 코튼 슬림핏 셔츠 (50458258_459),Musinsa_Shirt_35.jpg,ButtonDown,solid,1,b1c6f3,bfd1f8,"155,000",https://www.musinsa.com/app/goods/2658569,Azure,Azure,
레드 로고 라벨 코튼 슬림핏 셔츠 (50458258_448),Musinsa_Shirt_36.jpg,ButtonDown,solid,etc,99bdd3,8cb2ca,"155,000",https://www.musinsa.com/app/goods/2658567,Cyan,Cyan,
레드 로고 라벨 코튼 슬림핏 셔츠 (50458258_199),Musinsa_Shirt_37.jpg,Regular,solid,1,e8e9ed,eeeff3,"155,000",https://www.musinsa.com/app/goods/2658564,White,White,
[by STCO] 남성 버튼다운카라 스트레치 셔츠 7종,Musinsa_Shirt_38.jpg,Regular,solid,0,e6e9f0,dcdee5,"19,900",https://www.musinsa.com/app/goods/2658521,White,Gray,
[by STCO] 남성 레귤러카라 스트레치 셔츠 8종,Musinsa_Shirt_39.jpg,Regular,solid,0,c6c6d8,aaa9c2,"19,900",https://www.musinsa.com/app/goods/2658519,Gray,Blue,
시어서커 스트라이프 셔츠 (블루),Musinsa_Shirt_40.jpg,Regular,stripe,0,c2c0d6,d0cee4,"98,000",https://www.musinsa.com/app/goods/2658245,Blue,Gray,
시어서커 스트라이프 셔츠 (핑크),Musinsa_Shirt_41.jpg,Regular,solid,0,ebd4df,ddc0c7,"98,000",https://www.musinsa.com/app/goods/2658244,Rose,Rose,
시어서커 스트라이프 셔츠 (그린),Musinsa_Shirt_42.jpg,Regular,etc,1,cdd2d2,c1c5c0,"98,000",https://www.musinsa.com/app/goods/2658243,Gray,Gray,
크롭 포켓 셔츠(화이트),Musinsa_Shirt_43.jpg,Notched,solid,2,ede6e7,dcd1d0,"108,000",https://www.musinsa.com/app/goods/2658238,White,Gray,
크롭 포켓 셔츠(블랙),Musinsa_Shirt_44.jpg,Notched,solid,etc,191f2b,09101a,"108,000",https://www.musinsa.com/app/goods/2658237,Azure,Azure,
크롭 포켓 셔츠(스카이블루),Musinsa_Shirt_45.jpg,Notched,solid,2,b2b6c3,dab39c,"108,000",https://www.musinsa.com/app/goods/2658236,Gray,Red,
22 SUMMER 벨트 셔츠 (화이트),Musinsa_Shirt_46.jpg,Regular,solid,etc,a7a8a8,b2b3b3,"98,000",https://www.musinsa.com/app/goods/2658155,Gray,Gray,
22 SUMMER 벨트 셔츠 (블랙),Musinsa_Shirt_47.jpg,Regular,solid,1,20262a,12191c,"98,000",https://www.musinsa.com/app/goods/2658154,Cyan,Cyan,
22 SUMMER 벨트 셔츠 (라이트 그린),Musinsa_Shirt_48.jpg,Regular,solid,1,a8a89a,b6b7ab,"98,000",https://www.musinsa.com/app/goods/2658153,Gray,Gray,
[리얼린넨] 써머 린넨셔츠_오션블루,Musinsa_Shirt_49.jpg,Regular,solid,1,2c85c4,399bd9,"85,000",https://www.musinsa.com/app/goods/2658017,Cyan,Cyan,
[리얼린넨] 써머 린넨셔츠_그린,Musinsa_Shirt_50.jpg,Regular,etc,etc,3da65e,4cbe72,"85,000",https://www.musinsa.com/app/goods/2658006,Green,Green,
[리얼린넨] 써머 린넨셔츠_블랙,Musinsa_Shirt_51.jpg,Regular,solid,0,252525,313131,"85,000",https://www.musinsa.com/app/goods/2657988,Gray,Gray,
[WOMAN]밑단스트링셔츠 - 2color MWWS6204,Musinsa_Shirt_52.jpg,Regular,solid,0,171a28,0f111f,"89,900",https://www.musinsa.com/app/goods/2657820,Azure,Azure,
22FW 모노그램 모티프 셔츠 8043060 A1464,Musinsa_Shirt_53.jpg,Regular,solid,2,d2d2d9,e3e3ec,"576,000",https://www.musinsa.com/app/goods/2657676,Gray,White,
로고 293C522A1581 588 남자 셔츠,Musinsa_Shirt_54.jpg,Regular,solid,0,2e3144,242638,"1,142,000",https://www.musinsa.com/app/goods/2657593,Azure,Azure,
CITYBOY SHARP SUMMER SHIRTS (Mint),Musinsa_Shirt_55.jpg,Regular,solid,1,b2bbbb,a2a9a7,"39,000",https://www.musinsa.com/app/goods/2657265,Gray,Gray,
CITYBOY SHARP SUMMER SHIRTS (Sky),Musinsa_Shirt_56.jpg,Regular,solid,1,a5bcd9,b1c9e7,"39,000",https://www.musinsa.com/app/goods/2657254,Azure,Azure,
